Programs,O_Level_Credits,A_Level_Passes,Entry Requirements
BTEC Level 1 Introductory Diploma in Information Technology,4,,4 O-Level Credits for BTEC and NCC Diplomas
BTEC Level 2 Certificate in Information Technology,4,,4 O-Level Credits for BTEC and NCC Diplomas
BTEC Level 3 Diploma in Information Technology,4,,4 O-Level Credits for BTEC and NCC Diplomas
BTEC Higher National Diploma (HND) in Computing,4,,4 O-Level Credits for BTEC and NCC Diplomas
NCC Level 3 Diploma in Computing,4,,4 O-Level Credits for BTEC and NCC Diplomas
NCC Level 4 Diploma in Computing,4,,4 O-Level Credits for BTEC and NCC Diplomas
NCC Level 5 Diploma in Computing,4,,4 O-Level Credits for BTEC and NCC Diplomas
LCCI Level 1 Certificate in Book-keeping,4,,4 O-Level Credits for BTEC and NCC Diplomas
"CompTIA Data+, Network+, and Cyber Security certifications",4,,4 O-Level Credits for BTEC and NCC Diplomas
